Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency
TTN,169,125,10.0,0.0,0.05917159763313609,0.30193236714975846
TP53,112,110,39.0,0.0,0.3482142857142857,0.26570048309178745
MUC16,98,81,10.0,0.0,0.10204081632653061,0.1956521739130435
CTNNB1,97,96,0.0,0.0,0.0,0.2318840579710145
PCLO,68,55,8.0,0.0,0.11764705882352941,0.13285024154589373
ALB,60,52,35.0,0.0,0.5833333333333334,0.12560386473429952
OBSCN,53,46,2.0,0.0,0.03773584905660377,0.1111111111111111
RYR2,49,44,4.0,0.0,0.08163265306122448,0.10628019323671498
CSMD3,47,43,6.0,0.0,0.1276595744680851,0.10386473429951691
FLG,45,40,3.0,0.0,0.06666666666666667,0.0966183574879227
HMCN1,44,36,9.0,0.0,0.20454545454545456,0.08695652173913043
LRP1B,44,42,6.0,0.0,0.13636363636363635,0.10144927536231885
XIRP2,43,38,2.0,0.0,0.046511627906976744,0.09178743961352658
ARID1A,40,38,28.0,0.0,0.7,0.09178743961352658
APOB,39,37,17.0,0.0,0.4358974358974359,0.0893719806763285
ABCA13,39,35,3.0,0.0,0.07692307692307693,0.08454106280193237
CSMD1,38,33,5.0,0.0,0.13157894736842105,0.07971014492753623
USH2A,38,34,2.0,0.0,0.05263157894736842,0.0821256038647343
MUC5B,37,35,3.0,0.0,0.08108108108108109,0.08454106280193237
CACNA1E,35,33,1.0,0.0,0.02857142857142857,0.07971014492753623
RYR1,34,29,2.0,0.0,0.058823529411764705,0.07004830917874397
DNAH7,34,31,4.0,0.0,0.11764705882352941,0.0748792270531401
ADGRV1,33,31,2.0,0.0,0.06060606060606061,0.0748792270531401
DOCK2,31,27,5.0,0.0,0.16129032258064516,0.06521739130434782
SPTA1,31,27,4.0,0.0,0.12903225806451613,0.06521739130434782
BAP1,31,28,17.0,0.0,0.5483870967741935,0.06763285024154589
RYR3,31,29,4.0,0.0,0.12903225806451613,0.07004830917874397
DMD,30,30,7.0,0.0,0.23333333333333334,0.07246376811594203
FBN2,30,26,1.0,0.0,0.03333333333333333,0.06280193236714976
FASN,30,28,5.0,0.0,0.16666666666666666,0.06763285024154589
AXIN1,30,28,25.0,0.0,0.8333333333333334,0.06763285024154589
DNAH5,30,28,4.0,0.0,0.13333333333333333,0.06763285024154589
FAT2,30,28,5.0,0.0,0.16666666666666666,0.06763285024154589
FAT3,30,28,1.0,0.0,0.03333333333333333,0.06763285024154589
CUBN,30,28,3.0,0.0,0.1,0.06763285024154589
COL11A1,29,26,1.0,0.0,0.034482758620689655,0.06280193236714976
PKHD1L1,28,25,2.0,0.0,0.07142857142857142,0.06038647342995169
DNAH8,27,27,5.0,0.0,0.18518518518518517,0.06521739130434782
KMT2D,27,24,8.0,0.0,0.2962962962962963,0.057971014492753624
LAMA1,27,27,2.0,0.0,0.07407407407407407,0.06521739130434782
AHNAK2,27,24,3.0,0.0,0.1111111111111111,0.057971014492753624
PCDH15,27,27,3.0,0.0,0.1111111111111111,0.06521739130434782
ZFHX4,26,22,5.0,0.0,0.19230769230769232,0.05314009661835749
KIAA1109,26,23,6.0,0.0,0.23076923076923078,0.05555555555555555
PLXNA4,26,25,4.0,0.0,0.15384615384615385,0.06038647342995169
DST,26,25,5.0,0.0,0.19230769230769232,0.06038647342995169
