Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations
TP53,112,110,39.0,0.0,0.3482142857142857,0.2657004830917874,0.0,0.8790322580645161,0.3482142857142857,0.0,0.5439804147465438,4.727387818712341
TTN,169,125,10.0,0.0,0.059171597633136,0.3019323671497584,0.0,1.0,0.059171597633136,0.0,0.5177514792899408,5.135798437050262
CTNNB1,97,96,0.0,0.0,0.0,0.2318840579710145,0.0,0.7661290322580647,0.0,0.0,0.38306451612903236,4.584967478670572
ALB,60,52,35.0,0.0,0.5833333333333334,0.1256038647342995,0.0,0.4112903225806453,0.5833333333333334,0.0,0.38064516129032266,4.110873864173311
ARID1A,40,38,28.0,0.0,0.7,0.0917874396135265,0.0,0.29838709677419356,0.7,0.0,0.3591935483870968,3.713572066704308
AXIN1,30,28,25.0,0.0,0.8333333333333334,0.0676328502415458,0.0,0.2177419354838709,0.8333333333333334,0.0,0.35887096774193544,3.4339872044851463
MUC16,98,81,10.0,0.0,0.1020408163265306,0.1956521739130435,0.0,0.645161290322581,0.1020408163265306,0.0,0.35319289005924964,4.59511985013459
UBE2D3,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.024193548387096767,1.0,0.0,0.31209677419354837,1.6094379124341003
PHKG2,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.024193548387096767,1.0,0.0,0.31209677419354837,1.6094379124341003
GADL1,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.024193548387096767,1.0,0.0,0.31209677419354837,1.6094379124341003
RPL22,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.024193548387096767,1.0,0.0,0.31209677419354837,1.6094379124341003
IFIT5,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
MAK,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
WDR38,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
IRF7,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
TOB1,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
CCDC138,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.016129032258064734,1.0,0.0,0.30806451612903235,1.3862943611198906
