Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,cluster
TP53,112,110,39.0,0.0,0.3482142857142857,0.2657004830917874,0.0,0.8790322580645161,0.3482142857142857,0.0,0.5439804147465438,4.727387818712341,6
TTN,169,125,10.0,0.0,0.059171597633136,0.3019323671497584,0.0,1.0,0.059171597633136,0.0,0.5177514792899408,5.135798437050262,6
CTNNB1,97,96,0.0,0.0,0.0,0.2318840579710145,0.0,0.7661290322580647,0.0,0.0,0.3830645161290323,4.584967478670572,6
ALB,60,52,35.0,0.0,0.5833333333333334,0.1256038647342995,0.0,0.4112903225806453,0.5833333333333334,0.0,0.3806451612903226,4.110873864173311,8
ARID1A,40,38,28.0,0.0,0.7,0.0917874396135265,0.0,0.2983870967741935,0.7,0.0,0.3591935483870968,3.713572066704308,8
AXIN1,30,28,25.0,0.0,0.8333333333333334,0.0676328502415458,0.0,0.2177419354838709,0.8333333333333334,0.0,0.3588709677419354,3.4339872044851463,4
MUC16,98,81,10.0,0.0,0.1020408163265306,0.1956521739130435,0.0,0.645161290322581,0.1020408163265306,0.0,0.3531928900592496,4.59511985013459,6
UBE2D3,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,7
PHKG2,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,7
GADL1,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,7
RPL22,4,4,4.0,0.0,1.0,0.0096618357487922,0.0,0.0241935483870967,1.0,0.0,0.3120967741935483,1.6094379124341005,7
IFIT5,3,3,3.0,0.0,1.0,0.0072463768115942,0.0,0.0161290322580647,1.0,0.0,0.3080645161290323,1.3862943611198906,7
