Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,weak_label_driver,ml_driver_probability,hybrid_score
TTN,169,125,10.0,0.0,0.059171597633136,0.3019323671497584,0.0,1.0,0.059171597633136,0.0,0.5177514792899408,5.135798437050262,0,0.9999999999641,0.8071005916944363
TP53,112,110,39.0,0.0,0.3482142857142857,0.2657004830917874,0.0,0.8790322580645161,0.3482142857142857,0.0,0.5439804147465438,4.727387818712341,1,0.9999999989322657,0.8175921652579768
CTNNB1,97,96,0.0,0.0,0.0,0.2318840579710145,0.0,0.7661290322580647,0.0,0.0,0.3830645161290323,4.584967478670572,1,0.9999999908920513,0.7532258009868438
MUC16,98,81,10.0,0.0,0.1020408163265306,0.1956521739130435,0.0,0.645161290322581,0.1020408163265306,0.0,0.3531928900592496,4.59511985013459,0,0.9999999043699299,0.7412770986456577
PCLO,68,55,8.0,0.0,0.1176470588235294,0.1328502415458937,0.0,0.4354838709677421,0.1176470588235294,0.0,0.2530360531309298,4.23410650459726,0,0.9999890526705254,0.7012078528546871
ALB,60,52,35.0,0.0,0.5833333333333334,0.1256038647342995,0.0,0.4112903225806453,0.5833333333333334,0.0,0.3806451612903226,4.110873864173311,1,0.9999668362106119,0.7522381662424962
OBSCN,53,46,2.0,0.0,0.0377358490566037,0.1111111111111111,0.0,0.3629032258064518,0.0377358490566037,0.0,0.192772367620207,3.9889840465642745,0,0.9999322201235097,0.6770682791221886
RYR2,49,44,4.0,0.0,0.0816326530612244,0.1062801932367149,0.0,0.3467741935483871,0.0816326530612244,0.0,0.1978768926925608,3.912023005428146,0,0.9998877633810151,0.6790834151056334
CSMD3,47,43,6.0,0.0,0.1276595744680851,0.1038647342995169,0.0,0.338709677419355,0.1276595744680851,0.0,0.207652711050103,3.871201010907891,0,0.9998518968088814,0.68297222250537
LRP1B,44,42,6.0,0.0,0.1363636363636363,0.1014492753623188,0.0,0.3306451612903227,0.1363636363636363,0.0,0.2062316715542522,3.8066624897703196,0,0.9998008610757275,0.6823731852671374
FLG,45,40,3.0,0.0,0.0666666666666666,0.0966183574879227,0.0,0.3145161290322583,0.0666666666666666,0.0,0.1772580645161291,3.828641396489095,0,0.999756765293376,0.6707572849824772
XIRP2,43,38,2.0,0.0,0.0465116279069767,0.0917874396135265,0.0,0.2983870967741935,0.0465116279069767,0.0,0.1631470367591898,3.784189633918261,0,0.999643656993125,0.6650450088995509
HMCN1,44,36,9.0,0.0,0.2045454545454545,0.0869565217391304,0.0,0.2822580645161291,0.2045454545454545,0.0,0.2024926686217009,3.8066624897703196,0,0.9994737676398748,0.6806813280326053
APOB,39,37,17.0,0.0,0.4358974358974359,0.0893719806763285,0.0,0.2903225806451615,0.4358974358974359,0.0,0.2759305210918115,3.6888794541139363,1,0.9992965612996835,0.7099501452165347
ABCA13,39,35,3.0,0.0,0.0769230769230769,0.0845410628019323,0.0,0.2741935483870968,0.0769230769230769,0.0,0.1601736972704714,3.6888794541139363,0,0.9992938180571604,0.6636457697424848
